query,entity,entity_key,is_highcharts,is_overall_row,query_runs,mentions_count,mentions_rate,share_of_voice_total_mentions,share_of_voice_rate,share_of_voice_rate_pct,window_start_utc,window_end_utc,date_dd_mm_yyyy,models,model_owners,model_owner_map,web_search_enabled,run_month,run_id
javascript charting libraries,Highcharts,highcharts,yes,no,3,3,1.0,12,0.25,25.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
javascript charting libraries,d3.js,d3_js,no,no,3,3,1.0,12,0.25,25.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
javascript charting libraries,chart.js,chart_js,no,no,3,3,1.0,12,0.25,25.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
javascript charting libraries,echarts,echarts,no,no,3,3,1.0,12,0.25,25.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
javascript charting libraries,amcharts,amcharts,no,no,3,0,0.0,12,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
javascript charting libraries,AG Grid,ag_grid,no,no,3,0,0.0,12,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
javascript charting libraries,AG Chart,ag_chart,no,no,3,0,0.0,12,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
javascript charting libraries,Recharts,recharts,no,no,3,0,0.0,12,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
data visualization library,Highcharts,highcharts,yes,no,3,0,0.0,3,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
data visualization library,d3.js,d3_js,no,no,3,3,1.0,3,1.0,100.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
data visualization library,chart.js,chart_js,no,no,3,0,0.0,3,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
data visualization library,echarts,echarts,no,no,3,0,0.0,3,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
data visualization library,amcharts,amcharts,no,no,3,0,0.0,3,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
data visualization library,AG Grid,ag_grid,no,no,3,0,0.0,3,0.0,0.0,2026-03-01T08:02:33.455728+00:00,2026-03-01T08:52:42.141316+00:00,01/03/2026,gpt-4o-mini,OpenAI,gpt-4o-mini=>OpenAI,yes,2026-03,536c9425-b75a-47e5-8f62-dc57f2ba3e19
